_time,content,子串类型明细,子串类型模式,模式长度,是否包含中文,切分的结果,切分后的长度,event_key,EventId,EventTemplate,star_ratio,Occurrences,ParameterList
2021-07-29T10:44:45.898+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,36,['正在运行']
2021-07-29T10:44:45.897+0800,生成以下严重警告: 10。内部错误状态为 1203。,-,-,-,-,-,-,-,76,生成 以下 严重 警告 :   10 。 内部 错误 状态 为   1203 。,-,3,[]
2021-07-29T10:44:45.897+0800,生成以下严重警告: 10。内部错误状态为 1203。,-,-,-,-,-,-,-,76,生成 以下 严重 警告 :   10 。 内部 错误 状态 为   1203 。,-,4,[]
2021-07-29T10:44:45.897+0800,生成以下严重警告: 10。内部错误状态为 1203。,-,-,-,-,-,-,-,76,生成 以下 严重 警告 :   10 。 内部 错误 状态 为   1203 。,-,5,[]
2021-07-29T10:44:45.871+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,22,['停止']
2021-07-29T10:44:45.868+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,37,['停止']
2021-07-29T10:44:45.868+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,38,['正在运行']
2021-07-29T10:44:45.868+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,39,['停止']
2021-07-29T10:44:45.868+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,23,['正在运行']
2021-07-29T10:44:45.868+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,40,['正在运行']
2021-07-29T10:44:45.839+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,24,['停止']
2021-07-29T10:44:45.836+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,41,['停止']
